ds_municipio_hp;cd_estacao_sigla_hc;cd_celula_name_hp;cd_celula_hp;ds_nome_cdo_hp;ds_cdo_est_operacional;cd_cdo_ptp_name
CAMPINAS;SP;;;CDOI-0000;"";""
CAMPINAS;SP;36 (VLG) SECUNDARIA - 2602283590;;CDOI-0000;"";""
CAMPINAS;SP;56 (CAS1) SECUNDARIA - 1884477127;;CDOI-0000;"";""
CAMPINAS;SP;1 (VLG) Secundária;1;CDOE-102;"";""
CAMPINAS;VLG;1 (VLG) Secundária;1;CDOE-103;EM SERVIÇO;1
CAMPINAS;SP;1 (VLG) Secundária;1;CDOE-103;"";""
CAMPINAS;SP;1 (CJD) Secundária;1;CDOE-103;"";""
CAMPINAS;"";1 (CJD) Secundária;1;CDOE-104;"";""
CAMPINAS;SP;1 (VLG) Secundária;1;CDOE-105;"";""
CAMPINAS;SP;1 (VLG) Secundária;1;CDOE-106;"";""
CAMPINAS;VLG;1 (VLG) Secundária;1;CDOE-106;EM SERVIÇO;1
CAMPINAS;CAS1;1 (CAS1) Secundária;1;CDOE-109;EM SERVIÇO;1
CAMPINAS;SP;1 (CAS1) Secundária;1;CDOE-111;"";""
CAMPINAS;CAS1;1 (CAS1) Secundária;1;CDOE-111;EM SERVIÇO;1
CAMPINAS;CAS1;1 (CAS1) Secundária;1;CDOE-112;EM SERVIÇO;2
CAMPINAS;SP;1 (CAS1) Secundária;1;CDOE-112;"";""
CAMPINAS;SP;1 (CAS1) Secundária;1;CDOE-120;"";""
CAMPINAS;CAS1;1 (CAS1) Secundária;1;CDOE-125;"";""
CAMPINAS;CAS1;1 (CAS1) Secundária;1;CDOE-127;EM SERVIÇO;1
CAMPINAS;SP;10 (VLG) Secundária;10;CDOE-1001;"";""
CAMPINAS;SP;10 (VLG) Secundária;10;CDOE-1002;"";""
CAMPINAS;VLG;10 (VLG) Secundária;10;CDOE-1003;EM SERVIÇO;1
CAMPINAS;VLG;10 (VLG) Secundária;10;CDOE-1008;"";""
CAMPINAS;SP;10 (CJD) Secundária;10;CDOE-1008;"";""
CAMPINAS;VLG;10 (VLG) Secundária;10;CDOE-1009;"";""
CAMPINAS;CJD;10 (CJD) Secundária;10;CDOE-1011;EM SERVIÇO;1
CAMPINAS;SP;10 (CJD) Secundária;10;CDOE-1012;"";""
CAMPINAS;VLG;10 (VLG) Secundária;10;CDOE-1012;EM SERVIÇO;1
CAMPINAS;VLG;10 (VLG) Secundária;10;CDOE-1012;EM SERVIÇO;2
CAMPINAS;PPF;10 (PPF) Secundária;10;CDOE-1014;EM SERVIÇO;1
CAMPINAS;PPF;10 (PPF) Secundária;10;CDOE-1024;EM SERVIÇO;1
CAMPINAS;PPF;10 (PPF) Secundária;10;CDOE-1024;EM SERVIÇO;1
CAMPINAS;SP;100 (CJD) Secundária;100;CDOE-10001;"";""
CAMPINAS;SP;100 (PPF) Secundária;100;CDOE-10001;"";""
CAMPINAS;PPF;100 (PPF) Secundária;100;CDOE-10001;EM SERVIÇO;1
CAMPINAS;PPF;100 (PPF) Secundária;100;CDOE-10001;"";""
CAMPINAS;PPF;100 (PPF) Secundária;100;CDOE-10001;EM SERVIÇO;3
CAMPINAS;CJD;100 (CJD) Secundária;100;CDOE-10001;EM SERVIÇO;2
CAMPINAS;SP;100 (CJD) Secundária;100;CDOE-10001;"";""
CAMPINAS;PPF;100 (PPF) Secundária;100;CDOE-10001;"";""
CAMPINAS;SP;100 (CAS1) Secundária;100;CDOE-10002;"";""
CAMPINAS;PPF;100 (PPF) Secundária;100;CDOE-10002;EM SERVIÇO;1
CAMPINAS;SP;100 (CAS1) Secundária;100;CDOE-10003;"";""
CAMPINAS;PPF;100 (PPF) Secundária;100;CDOE-10003;"";""
CAMPINAS;SP;100 (PPF) Secundária;100;CDOE-10003;"";""
CAMPINAS;PPF;100 (PPF) Secundária;100;CDOE-10004;"";""
CAMPINAS;PPF;100 (PPF) Secundária;100;CDOE-10004;EM SERVIÇO;2
CAMPINAS;CJD;100 (CJD) Secundária;100;CDOE-10005;EM SERVIÇO;1
CAMPINAS;SP;100 (CJD) Secundária;100;CDOE-10005;"";""
CAMPINAS;CAS1;100 (CAS1) Secundária;100;CDOE-10009;EM SERVIÇO;2
CAMPINAS;CAS1;100 (CAS1) Secundária;100;CDOE-10009;"";""
CAMPINAS;PPF;100 (PPF) Secundária;100;CDOE-10009;"";""
CAMPINAS;PPF;100 (PPF) Secundária;100;CDOE-10010;EM SERVIÇO;1
CAMPINAS;SP;100 (CJD) Secundária;100;CDOE-10012;"";""
CAMPINAS;CJD;100 (CJD) Secundária;100;CDOE-10016;EM SERVIÇO;1
